kartas_nr,datums,pr_partneris,pr_pvn_nr,pr_datums,pr_numurs,darijuma_apraksts,vertiba_bez_pvn,dabas_resursi,atlaides,pvn_summa,kopeja_summa,due_date,client_reg_no,client_address,doc_type,items_json,comments,created_at
13,06.07.2026,Aigars Bukne,,06.07.2026,BR 0101,BEIJING EFR 50W CO2 Lampa; Piegāde uz Limbažu novadu,"181,34",,"0,00","38,08","219,42",20.07.2026,030790-11777,"Limbažu novads, Brīvzemnieku pagasts, ''Vecsilnieki''",Pavadzīme,"[{""seq"": 1, ""name"": ""BEIJING EFR 50W CO2 Lampa"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""160,00"", ""total"": ""160,00"", ""raw_qty"": 1.0, ""raw_price"": 160.0}, {""seq"": 2, ""name"": ""Piegāde uz Limbažu novadu"", ""unit"": ""Gab"", ""qty"": ""1.0"", ""price"": ""21,34"", ""total"": ""21,34"", ""raw_qty"": 1.0, ""raw_price"": 21.34}]",,2026-07-06 10:51:57
14,06.07.2026,Aigars Bukne,,06.07.2026,BR 0102,BEIJING EFR 50W CO2 Lampa; Piegāde uz Limbažu novadu,"181,34",,"0,00","38,08","219,42",20.07.2026,030790-11777,"Limbažu novads, Brīvzemnieku pagasts, ''Vecsilnieki''",Pavadzīme,"[{""seq"": 1, ""name"": ""BEIJING EFR 50W CO2 Lampa"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""160,00"", ""total"": ""160,00"", ""raw_qty"": 1.0, ""raw_price"": 160.0}, {""seq"": 2, ""name"": ""Piegāde uz Limbažu novadu"", ""unit"": ""Gab"", ""qty"": ""1.0"", ""price"": ""21,34"", ""total"": ""21,34"", ""raw_qty"": 1.0, ""raw_price"": 21.34}]",,2026-07-06 10:52:30
15,07.07.2026,"RIDE, Sabiedrība ar ierobežotu atbildību",LV40203212928,07.07.2026,BR 0103,3D pakalpojumu sniegšana. Skūtera karkasa printēšana; Prototipu izstrāde; 3D skenēšanas pakalpojumi,"2 688,00",,"0,00","564,48","3 252,48",21.07.2026,40203212928,"Mārupes nov., Mārupe, Sēļu iela 10, LV-2167Iepriekšējās adreses",Pavadzīme,"[{""seq"": 1, ""name"": ""3D pakalpojumu sniegšana. Skūtera karkasa printēšana"", ""unit"": ""Gab."", ""qty"": ""400.0"", ""price"": ""6,29"", ""total"": ""2 516,00"", ""raw_qty"": 400.0, ""raw_price"": 6.29}, {""seq"": 2, ""name"": ""Prototipu izstrāde"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""145,00"", ""total"": ""145,00"", ""raw_qty"": 1.0, ""raw_price"": 145.0}, {""seq"": 3, ""name"": ""3D skenēšanas pakalpojumi"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""27,00"", ""total"": ""27,00"", ""raw_qty"": 1.0, ""raw_price"": 27.0}]",,2026-07-07 14:24:15
16,07.07.2026,"RIDE, Sabiedrība ar ierobežotu atbildību",LV40203212928,07.07.2026,BR 0104,"3D printeru pakalpojumu sniegšana. Skūteru stūres stiprinājums (PETG, drukas laiks, vītnes iekausēšana); Prototipu izstrāde, modelēšanas laiks; 3D skenēšanas pakalpojumi","2 688,00",,"0,00","564,48","3 252,48",21.07.2026,40203212928,"Mārupes nov., Mārupe, Sēļu iela 10, LV-2167Iepriekšējās adreses",Pavadzīme,"[{""seq"": 1, ""name"": ""3D printeru pakalpojumu sniegšana. Skūteru stūres stiprinājums (PETG, drukas laiks, vītnes iekausēšana)"", ""unit"": ""Gab."", ""qty"": ""400.0"", ""price"": ""6,29"", ""total"": ""2 516,00"", ""raw_qty"": 400.0, ""raw_price"": 6.29}, {""seq"": 2, ""name"": ""Prototipu izstrāde, modelēšanas laiks"", ""unit"": ""Stundas"", ""qty"": ""10.0"", ""price"": ""14,50"", ""total"": ""145,00"", ""raw_qty"": 10.0, ""raw_price"": 14.5}, {""seq"": 3, ""name"": ""3D skenēšanas pakalpojumi"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""27,00"", ""total"": ""27,00"", ""raw_qty"": 1.0, ""raw_price"": 27.0}]",,2026-07-07 16:05:02
17,07.07.2026,"RIDE, Sabiedrība ar ierobežotu atbildību",LV40203212928,07.07.2026,BR 0105,"3D printeru pakalpojumu sniegšana. Skūteru stūres stiprinājums (PETG, drukas laiks, vītnes iekausēšana); Prototipu izstrāde, modelēšanas laiks; 3D skenēšanas pakalpojumi","2 688,00",,"0,00","564,48","3 252,48",21.07.2026,40203212928,"Mārupes nov., Mārupe, Sēļu iela 10, LV-2167Iepriekšējās adreses",Pavadzīme,"[{""seq"": 1, ""name"": ""3D printeru pakalpojumu sniegšana. Skūteru stūres stiprinājums (PETG, drukas laiks, vītnes iekausēšana)"", ""unit"": ""Gab."", ""qty"": ""400.0"", ""price"": ""6,29"", ""total"": ""2 516,00"", ""raw_qty"": 400.0, ""raw_price"": 6.29}, {""seq"": 2, ""name"": ""Prototipu izstrāde, modelēšanas laiks"", ""unit"": ""Stundas"", ""qty"": ""10.0"", ""price"": ""14,50"", ""total"": ""145,00"", ""raw_qty"": 10.0, ""raw_price"": 14.5}, {""seq"": 3, ""name"": ""3D skenēšanas pakalpojumi"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""27,00"", ""total"": ""27,00"", ""raw_qty"": 1.0, ""raw_price"": 27.0}]",,2026-07-07 16:05:15
18,14.07.2026,"PILSAKMENS, Sabiedrība ar ierobežotu atbildību",LV40103373486,14.07.2026,BR 0106,Misiņa plāksnīšu gravēšana un mehāniskā apstrāde,"97,65",,"0,00","20,51","118,16",28.07.2026,40103373486,"Salaspils nov., Salaspils, Zemeņu iela 13, LV-2169",Pavadzīme,"[{""seq"": 1, ""name"": ""Misiņa plāksnīšu gravēšana un mehāniskā apstrāde"", ""unit"": ""Gab."", ""qty"": ""31.0"", ""price"": ""3,15"", ""total"": ""97,65"", ""raw_qty"": 31.0, ""raw_price"": 3.15}]",,2026-07-14 14:35:09
19,16.07.2026,"LATTIMS, SIA",LV40003901631,16.07.2026,BR 0107,Lāzeriekārtas serviss; Gaisa padeves trubiņa; Izbraukums uz Salaspili,"62,00",,"0,00","13,02","75,02",30.07.2026,40003901631,"Salaspils nov., Salaspils, Skolas iela 13 - 48, LV-2121***Iepriekšējās adreses",Pavadzīme,"[{""seq"": 1, ""name"": ""Lāzeriekārtas serviss"", ""unit"": ""gab."", ""qty"": ""1.0"", ""price"": ""35,00"", ""total"": ""35,00"", ""raw_qty"": 1.0, ""raw_price"": 35.0}, {""seq"": 2, ""name"": ""Gaisa padeves trubiņa"", ""unit"": ""m"", ""qty"": ""2.0"", ""price"": ""6,00"", ""total"": ""12,00"", ""raw_qty"": 2.0, ""raw_price"": 6.0}, {""seq"": 3, ""name"": ""Izbraukums uz Salaspili"", ""unit"": ""gab."", ""qty"": ""1.0"", ""price"": ""15,00"", ""total"": ""15,00"", ""raw_qty"": 1.0, ""raw_price"": 15.0}]",,2026-07-16 11:30:24
20,21.07.2026,"ET Packaging Latvia, SIA",LV40003823905,21.07.2026,BR 0108,"1. Lāzergravētājs | KH90140; 130W
CO2","5 325,00",,"0,00","1 118,25","6 443,25",04.08.2026,40003823905,"Siguldas nov., Krimuldas pag., Inciems, ""Vētras"", LV-2145Iepriekšējās adreses",Pavadzīme,"[{""seq"": 1, ""name"": ""1. Lāzergravētājs | KH90140; 130W\nCO2"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""5 325,00"", ""total"": ""5 325,00"", ""raw_qty"": 1.0, ""raw_price"": 5325.0}]",Ar avansa rēķinu Nr. BR 0088 apmaksāts 3221.62 EUR. Atlikusī summa apmaksai - 3221.62 EUR,2026-07-21 06:53:20
21,27.07.2026,Ēriks Zalmanis,,27.07.2026,BR 0109,3D Printēšanas pakalpojumi,"16,40",,"0,00","3,44","19,84",10.08.2026,060795-10713,,Rēķins,"[{""seq"": 1, ""name"": ""3D Printēšanas pakalpojumi"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""16,40"", ""total"": ""16,40"", ""raw_qty"": 1.0, ""raw_price"": 16.4}]",,2026-07-27 14:24:59
22,31.07.2026,"ET Packaging Latvia, SIA",LV40003823905,31.07.2026,BR 0110,"Izbraukums uz Siguldas nov., Krimuldas pag., Inciems, ""Vētras"", LV-2145; Iekārtas pievienošana Ethernet tīklam. Dzesētāja pieslēgšana (Nepareizi saliktas trubas).","45,00",,"0,00","9,45","54,45",14.08.2026,40003823905,"Siguldas nov., Krimuldas pag., Inciems, ""Vētras"", LV-2145",Rēķins,"[{""seq"": 1, ""name"": ""Izbraukums uz Siguldas nov., Krimuldas pag., Inciems, \""Vētras\"", LV-2145"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""25,00"", ""total"": ""25,00"", ""raw_qty"": 1.0, ""raw_price"": 25.0}, {""seq"": 2, ""name"": ""Iekārtas pievienošana Ethernet tīklam. Dzesētāja pieslēgšana (Nepareizi saliktas trubas)."", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""20,00"", ""total"": ""20,00"", ""raw_qty"": 1.0, ""raw_price"": 20.0}]",,2026-07-31 10:00:31
23,04.08.2026,"PrintRest, SIA",LV40203010056,04.08.2026,BR 0111,Koka plāksnīšu gravēšana,"157,50",,"0,00","33,07","190,57",18.08.2026,40203010056,"Rīga, Stabu iela 30 - 11, LV-1011",Rēķins,"[{""seq"": 1, ""name"": ""Koka plāksnīšu gravēšana"", ""unit"": ""Gab."", ""qty"": ""5.0"", ""price"": ""31,50"", ""total"": ""157,50"", ""raw_qty"": 5.0, ""raw_price"": 31.5}]",,2026-08-04 08:31:00
24,04.08.2026,Edgars Rudēvičs ,,04.08.2026,BR 0112,Plotergriezējs Kh-1340,"300,00",,"0,00","63,00","363,00",18.08.2026,010978-12456,,Pavadzīme,"[{""seq"": 1, ""name"": ""Plotergriezējs Kh-1340"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""300,00"", ""total"": ""300,00"", ""raw_qty"": 1.0, ""raw_price"": 300.0}]",,2026-08-04 12:17:59
25,04.08.2026,"LINES UP, Sabiedrība ar ierobežotu atbildību",LV44103097401,04.08.2026,BR 0113,Reci W6 CO2 stikla lampa 130W; Jaudas regulators CO2 stikla lampai,"870,00",,"0,00","182,70","1 052,70",18.08.2026,44103097401,"Cēsu nov., Cēsis, Lenču iela 19A, LV-4101",Pavadzīme,"[{""seq"": 1, ""name"": ""Reci W6 CO2 stikla lampa 130W"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""850,00"", ""total"": ""850,00"", ""raw_qty"": 1.0, ""raw_price"": 850.0}, {""seq"": 2, ""name"": ""Jaudas regulators CO2 stikla lampai"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""20,00"", ""total"": ""20,00"", ""raw_qty"": 1.0, ""raw_price"": 20.0}]",,2026-08-04 13:35:14
26,04.08.2026,Kristaps Smailis,,04.08.2026,BR 0114,3D printēšanas pakalpojumi,"13,18",,"0,00","2,77","15,95",18.08.2026,180313-27299,,Rēķins,"[{""seq"": 1, ""name"": ""3D printēšanas pakalpojumi"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""13,18"", ""total"": ""13,18"", ""raw_qty"": 1.0, ""raw_price"": 13.18}]",,2026-08-04 14:42:26
27,05.08.2026,"Schneider Electric Latvija, Sabiedrība ar ierobežotu atbildību",LV40003254416,05.08.2026,BR 0115,"BOFA V 250 dūmu nosūkšanas iekārta, pulverkrāsots 
korpuss, 230 V, ar uzstādīšanas komplektu (Install kit) ; Priekšfiltrs (iepakojumā 5 gab.); Kombinētais HEPA/gāzes filtrs; Piegāde: Krustpils iela 35A, Rīga","1 614,50",,"0,00","339,05","1 953,55",19.08.2026,40003254416,"Rīga, Katlakalna iela 9A, LV-1073",Pavadzīme,"[{""seq"": 1, ""name"": ""BOFA V 250 dūmu nosūkšanas iekārta, pulverkrāsots \nkorpuss, 230 V, ar uzstādīšanas komplektu (Install kit) "", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""1 212,00"", ""total"": ""1 212,00"", ""raw_qty"": 1.0, ""raw_price"": 1212.0}, {""seq"": 2, ""name"": ""Priekšfiltrs (iepakojumā 5 gab.)"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""46,50"", ""total"": ""46,50"", ""raw_qty"": 1.0, ""raw_price"": 46.5}, {""seq"": 3, ""name"": ""Kombinētais HEPA/gāzes filtrs"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""336,00"", ""total"": ""336,00"", ""raw_qty"": 1.0, ""raw_price"": 336.0}, {""seq"": 4, ""name"": ""Piegāde: Krustpils iela 35A, Rīga"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""20,00"", ""total"": ""20,00"", ""raw_qty"": 1.0, ""raw_price"": 20.0}]",,2026-08-05 09:22:46
28,07.08.2026,Valman Print OÜ,,07.08.2026,BR 0116,GC16/4 savienojuma lodēšana un pievienošana rotējošai iekārtai,"25,00",,"0,00","5,25","30,25",21.08.2026,16887784,"Ida-Viru maakond, Narva linn, A. Puškini tn 15, 20309",Rēķins,"[{""seq"": 1, ""name"": ""GC16/4 savienojuma lodēšana un pievienošana rotējošai iekārtai"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""25,00"", ""total"": ""25,00"", ""raw_qty"": 1.0, ""raw_price"": 25.0}]",,2026-08-07 12:30:47
29,13.08.2026,"KRM, SIA",LV45403056666,13.08.2026,BR 0117,Lāzeriekārtas SIHAO; 7050 apkope un optisko daļu regulācija; Izbraukuma serviss Arendolē,"258,00",,"0,00","54,18","312,18",27.08.2026,45403056666,"Rīga, Indrānu iela 14A - 13, LV-1012",Rēķins,"[{""seq"": 1, ""name"": ""Lāzeriekārtas SIHAO; 7050 apkope un optisko daļu regulācija"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""165,00"", ""total"": ""165,00"", ""raw_qty"": 1.0, ""raw_price"": 165.0}, {""seq"": 2, ""name"": ""Izbraukuma serviss Arendolē"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""93,00"", ""total"": ""93,00"", ""raw_qty"": 1.0, ""raw_price"": 93.0}]",,2026-08-13 14:53:53
30,13.08.2026,"KRM, SIA",LV45403056666,13.08.2026,BR 0118,"CO2 lāzeriekārta ""WATTSAN"" 6090; 100W komplektā ar dzesētāju CW5200; RECI 100W; piegāde un uzstādīšana Arendolē","7 350,00",,"0,00","1 543,50","8 893,50",27.08.2026,45403056666,"Rīga, Indrānu iela 14A - 13, LV-1012",Pavadzīme,"[{""seq"": 1, ""name"": ""CO2 lāzeriekārta \""WATTSAN\"" 6090; 100W komplektā ar dzesētāju CW5200; RECI 100W; piegāde un uzstādīšana Arendolē"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""7 350,00"", ""total"": ""7 350,00"", ""raw_qty"": 1.0, ""raw_price"": 7350.0}]",,2026-08-13 14:59:23
31,14.08.2026,"STARTS, Sabiedrība ar ierobežotu atbildību",LV45402006738,14.08.2026,BR 0119,"RECI W4; 100W; Lampas uzstādīšana, pārbaude un iekārtas optikas regulācija Co2 tipa iekārtai ar darba laukumu ~900x1200mm; Lampas piegāde un izbraukuma serviss Jēkabpilī","832,00",,"0,00","174,72","1 006,72",17.08.2026,45402006738,"Jēkabpils nov., Jēkabpils, Bebru iela 2A, LV-5201 ***",Avansa rēķins,"[{""seq"": 1, ""name"": ""RECI W4; 100W"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""600,00"", ""total"": ""600,00"", ""raw_qty"": 1.0, ""raw_price"": 600.0}, {""seq"": 2, ""name"": ""Lampas uzstādīšana, pārbaude un iekārtas optikas regulācija Co2 tipa iekārtai ar darba laukumu ~900x1200mm"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""155,00"", ""total"": ""155,00"", ""raw_qty"": 1.0, ""raw_price"": 155.0}, {""seq"": 3, ""name"": ""Lampas piegāde un izbraukuma serviss Jēkabpilī"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""77,00"", ""total"": ""77,00"", ""raw_qty"": 1.0, ""raw_price"": 77.0}]",Pasūtījums tiek apstiprināts saņemot avansa apmaksu.,2026-08-14 10:21:57
32,14.08.2026,"Baltic Design Consultants, Sabiedrība ar ierobežotu atbildību",LV40003832452,14.08.2026,BR 0120,3D printēšana uzrakstam; PETG 3D printēšanas materiāls,"213,30",,"0,00","44,79","258,09",20.08.2026,40003832452,"Rīga, Dārzaugļu iela 1B, LV-1012 ***",Rēķins,"[{""seq"": 1, ""name"": ""3D printēšana uzrakstam"", ""unit"": ""stundas"", ""qty"": ""62.3"", ""price"": ""3,00"", ""total"": ""186,90"", ""raw_qty"": 62.3, ""raw_price"": 3.0}, {""seq"": 2, ""name"": ""PETG 3D printēšanas materiāls"", ""unit"": ""KG"", ""qty"": ""1.6"", ""price"": ""16,50"", ""total"": ""26,40"", ""raw_qty"": 1.6, ""raw_price"": 16.5}]",Pasūtījums tiek apstiprināts saņemot avansa apmaksu.,2026-08-14 10:55:16
33,15.08.2026,Mārtiņš punculis,,15.08.2026,BR 0121,Co2 lāzera lampa eCo2 HLC150,"1 061,50",,"0,00","222,91","1 284,41",29.08.2026,221190-11805,,Avansa rēķins,"[{""seq"": 1, ""name"": ""Co2 lāzera lampa eCo2 HLC150"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""1 061,50"", ""total"": ""1 061,50"", ""raw_qty"": 1.0, ""raw_price"": 1061.5}]",,2026-08-15 12:41:13
